Time,Event Name,Speaker/Facilitator,Location,Type
08:00 AM,Registration & Welcome Coffee,Conference Team,Main Foyer,Break
09:00 AM,Opening Ceremony & Keynote,Dr. Sarah Mitchell,Grand Auditorium,Keynote
10:00 AM,Community Impact Strategies,James Rodriguez,Main Hall,Workshop
10:45 AM,Morning Tea Break,Catering Team,Garden Terrace,Break
11:15 AM,Digital Fundraising Revolution,Emma Thompson,Tech Lab,Presentation
12:00 PM,Grant Writing Masterclass,Prof. Michael Chen,Conference Room A,Workshop
12:45 PM,Networking Lunch,All Attendees,Dining Hall,Break
02:00 PM,Volunteer Engagement Panel,Lisa Parker & Team,Main Hall,Panel
02:45 PM,Social Media for Nonprofits,Alex Johnson,Media Room,Workshop
03:30 PM,Afternoon Coffee & Networking,Conference Team,Outdoor Pavilion,Break
04:00 PM,Partnership Building Strategies,Rachel Green,Boardroom,Seminar
04:45 PM,Day 1 Wrap-up & Tomorrow Preview,Conference Director,Grand Auditorium,Closing
05:30 PM,Welcome Reception,All Attendees,Rooftop Terrace,Social
